method,parameter,repetition,runtime_s
PWC,15,23,0.0010933510000086244
PWC,15,24,0.001083752999988974
PWC,15,25,0.0010855960000526466
PWC,15,26,0.0010861880000447854
PWC,15,27,0.0010883820000344713
PWC,15,28,0.0010856270000658697
PWC,15,29,0.0010800359999620923
PWC,31,0,0.0011705050000045958
PWC,31,1,0.0011582129999396784
PWC,31,2,0.0011299699999653967
PWC,31,3,0.0011480640000627318
PWC,31,4,0.0011249210000414678
PWC,31,5,0.0011304109999628054
PWC,31,6,0.0011336660001006749
PWC,31,7,0.0011139700000057928
PWC,31,8,0.0011277959999915765
PWC,31,9,0.0011156929999742715
PWC,31,10,0.0011147709999477229
PWC,31,11,0.0011427540000568115
PWC,31,12,0.0011220760000014707
PWC,31,13,0.0011269039999888264
PWC,31,14,0.0011263840000310665
PWC,31,15,0.0011216340000146374
PWC,31,16,0.0011192500001016015
PWC,31,17,0.001128687000004902
PWC,31,18,0.0011144210000111343
PWC,31,19,0.0011385060000748126
PWC,31,20,0.0011554279999472783
PWC,31,21,0.0011311819999946238
PWC,31,22,0.0011257719999093752
PWC,31,23,0.0011342779999949926
PWC,31,24,0.001127635999978338
PWC,31,25,0.001126934000012625
PWC,31,26,0.001361664999990353
PWC,31,27,0.0011398279999639271
PWC,31,28,0.001120853000088573
PWC,31,29,0.001121562999969683
PWC,63,0,0.001177248999965741
PWC,63,1,0.0011542749999762236
PWC,63,2,0.0011776090000239492
PWC,63,3,0.0011425640000197745
PWC,63,4,0.0011427740000726772
PWC,63,5,0.0011422730000276715
PWC,63,6,0.0011299490000737933
PWC,63,7,0.0011399779999692328
PWC,63,8,0.0011379540000007182
PWC,63,9,0.0011608370000431023
PWC,63,10,0.0011449579999407433
PWC,63,11,0.0011411909999878844
PWC,63,12,0.0011346589999448042
PWC,63,13,0.0011276860000180022
PWC,63,14,0.0011319739999180456
PWC,63,15,0.001130250999949567
PWC,63,16,0.0011539749999656124
PWC,63,17,0.001136973000029684
PWC,63,18,0.00113781499999277
PWC,63,19,0.001144236999948589
PWC,63,20,0.0011365420000402082
PWC,63,21,0.001140480000003663
PWC,63,22,0.0011331760000530267
PWC,63,23,0.0011616790000061883
PWC,63,24,0.0011531830000421905
PWC,63,25,0.001138005000029807
PWC,63,26,0.0011355699999739954
PWC,63,27,0.0011419119999800387
PWC,63,28,0.001199720999920828
PWC,63,29,0.0011372940000455856
PWC,127,0,0.001481829999988804
PWC,127,1,0.0014637360000051558
PWC,127,2,0.001433129000020017
PWC,127,3,0.0014520740000989463
PWC,127,4,0.0014407019999680415
PWC,127,5,0.0014232390000188389
PWC,127,6,0.001454028000011931
PWC,127,7,0.0014265460000615349
PWC,127,8,0.001448606999929325
PWC,127,9,0.0014263260000006994
PWC,127,10,0.0014503109999850494
PWC,127,11,0.0015002750000121523
PWC,127,12,0.0014584670000203914
PWC,127,13,0.001427387999910934
PWC,127,14,0.0014293010000301365
PWC,127,15,0.0014510920000248007
PWC,127,16,0.0014191920000712344
PWC,127,17,0.0015399389999402047
PWC,127,18,0.0014398609999943801
PWC,127,19,0.0014584259999992355
PWC,127,20,0.0014217270000926874
PWC,127,21,0.0014484469999160865
PWC,127,22,0.0014328080000041155
PWC,127,23,0.0014238410000189106
PWC,127,24,0.00146519800000533
PWC,127,25,0.001433347999977741
PWC,127,26,0.0014539570000806634
PWC,127,27,0.0014189820000183317
PWC,127,28,0.001454158000001371
PWC,127,29,0.001420304000021133
PWC,255,0,0.0013969499999575419
PWC,255,1,0.0013762219999762237
PWC,255,2,0.0013355349999528698
PWC,255,3,0.001326979000054962
PWC,255,4,0.0013517060000367564
PWC,255,5,0.0013253560000521247
PWC,255,6,0.0013293930001054832
PWC,255,7,0.0013523369999575152
PWC,255,8,0.0013353340000321623
PWC,255,9,0.0013324000000238811
PWC,255,10,0.001376262000007955
PWC,255,11,0.0013250060000018493
PWC,255,12,0.0013465259999065893
PWC,255,13,0.0013425880000568213
PWC,255,14,0.001328903000057835
PWC,255,15,0.0013549220000186324
PWC,255,16,0.0013306260000263137
PWC,255,17,0.0013244450000229335
PWC,255,18,0.001353859999994711
PWC,255,19,0.0013279010000815106
PWC,255,20,0.001326437999978225
PWC,255,21,0.0013474879999648692
