method,parameter,repetition,runtime_s,mean_error_rad,max_mean_error_rad,l1_error,max_l1_error,min_evaluated_density,max_normalization_error
FIGFDN,31,11,0.0014458819999845218,0.00037042707598352226,0.0008321193417177852,0.00011366671476260236,0.0001182873471839456,4.31712043272372e-06,3.3306690738754696e-16
FIGFAN,31,12,0.0014528850000488092,0.000370427353598441,0.0008321199860916728,0.00011381373950089882,0.00012977096487700582,-1.4434194351831276e-06,4.440892098500626e-16
FIGFDN,31,12,0.0014528850000488092,0.00037042707598352226,0.0008321193417177852,0.00011366671476260236,0.0001182873471839456,4.31712043272372e-06,3.3306690738754696e-16
FIGFAN,31,13,0.0014195630000131132,0.000370427353598441,0.0008321199860916728,0.00011381373950089882,0.00012977096487700582,-1.4434194351831276e-06,4.440892098500626e-16
FIGFDN,31,13,0.0014195630000131132,0.00037042707598352226,0.0008321193417177852,0.00011366671476260236,0.0001182873471839456,4.31712043272372e-06,3.3306690738754696e-16
FIGFAN,31,14,0.0014372859999411958,0.000370427353598441,0.0008321199860916728,0.00011381373950089882,0.00012977096487700582,-1.4434194351831276e-06,4.440892098500626e-16
FIGFDN,31,14,0.0014372859999411958,0.00037042707598352226,0.0008321193417177852,0.00011366671476260236,0.0001182873471839456,4.31712043272372e-06,3.3306690738754696e-16
FIGFAN,31,15,0.0014078010000275754,0.000370427353598441,0.0008321199860916728,0.00011381373950089882,0.00012977096487700582,-1.4434194351831276e-06,4.440892098500626e-16
FIGFDN,31,15,0.0014078010000275754,0.00037042707598352226,0.0008321193417177852,0.00011366671476260236,0.0001182873471839456,4.31712043272372e-06,3.3306690738754696e-16
FIGFAN,31,16,0.001396018999912485,0.000370427353598441,0.0008321199860916728,0.00011381373950089882,0.00012977096487700582,-1.4434194351831276e-06,4.440892098500626e-16
FIGFDN,31,16,0.001396018999912485,0.00037042707598352226,0.0008321193417177852,0.00011366671476260236,0.0001182873471839456,4.31712043272372e-06,3.3306690738754696e-16
FIGFAN,31,17,0.0014267560000007506,0.000370427353598441,0.0008321199860916728,0.00011381373950089882,0.00012977096487700582,-1.4434194351831276e-06,4.440892098500626e-16
FIGFDN,31,17,0.0014267560000007506,0.00037042707598352226,0.0008321193417177852,0.00011366671476260236,0.0001182873471839456,4.31712043272372e-06,3.3306690738754696e-16
FIGFAN,31,18,0.0013974820000157706,0.000370427353598441,0.0008321199860916728,0.00011381373950089882,0.00012977096487700582,-1.4434194351831276e-06,4.440892098500626e-16
FIGFDN,31,18,0.0013974820000157706,0.00037042707598352226,0.0008321193417177852,0.00011366671476260236,0.0001182873471839456,4.31712043272372e-06,3.3306690738754696e-16
FIGFAN,31,19,0.001432578000049034,0.000370427353598441,0.0008321199860916728,0.00011381373950089882,0.00012977096487700582,-1.4434194351831276e-06,4.440892098500626e-16
FIGFDN,31,19,0.001432578000049034,0.00037042707598352226,0.0008321193417177852,0.00011366671476260236,0.0001182873471839456,4.31712043272372e-06,3.3306690738754696e-16
FIGFAN,31,20,0.0013941049999175448,0.000370427353598441,0.0008321199860916728,0.00011381373950089882,0.00012977096487700582,-1.4434194351831276e-06,4.440892098500626e-16
FIGFDN,31,20,0.0013941049999175448,0.00037042707598352226,0.0008321193417177852,0.00011366671476260236,0.0001182873471839456,4.31712043272372e-06,3.3306690738754696e-16
FIGFAN,31,21,0.0013862409999774172,0.000370427353598441,0.0008321199860916728,0.00011381373950089882,0.00012977096487700582,-1.4434194351831276e-06,4.440892098500626e-16
FIGFDN,31,21,0.0013862409999774172,0.00037042707598352226,0.0008321193417177852,0.00011366671476260236,0.0001182873471839456,4.31712043272372e-06,3.3306690738754696e-16
FIGFAN,31,22,0.0015074990000130128,0.000370427353598441,0.0008321199860916728,0.00011381373950089882,0.00012977096487700582,-1.4434194351831276e-06,4.440892098500626e-16
FIGFDN,31,22,0.0015074990000130128,0.00037042707598352226,0.0008321193417177852,0.00011366671476260236,0.0001182873471839456,4.31712043272372e-06,3.3306690738754696e-16
FIGFAN,31,23,0.001414173000057417,0.000370427353598441,0.0008321199860916728,0.00011381373950089882,0.00012977096487700582,-1.4434194351831276e-06,4.440892098500626e-16
FIGFDN,31,23,0.001414173000057417,0.00037042707598352226,0.0008321193417177852,0.00011366671476260236,0.0001182873471839456,4.31712043272372e-06,3.3306690738754696e-16
